,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,3
11,1
12,2
13,1
14,1
15,2
16,2
17,1
18,3
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,4
37,1
38,1
39,1
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,1
48,1
49,1
50,1
51,3
52,3
53,3
54,1
55,2
56,2
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,5
88,5
89,1
90,1
91,3
92,3
93,3
94,2
95,2
96,2
97,2
98,2
99,2
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,5
117,5
118,5
119,5
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,3
131,3
132,2
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,2
144,2
145,1
146,1
147,1
148,5
149,4
150,4
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,4
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,5
169,1
170,1
171,3
172,1
173,1
174,5
175,1
176,2
177,1
178,1
179,2
180,1
181,1
182,1
183,3
184,1
185,5
186,2
187,2
188,2
189,1
190,2
191,1
192,1
193,3
194,2
195,1
196,2
197,3
198,2
199,1
200,2
201,1
202,1
203,2
204,1
205,1
206,1
207,1
208,1
209,2
210,2
211,1
212,1
213,4
214,1
215,1
216,1
217,5
218,1
219,2
220,4
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,3
232,1
233,1
234,1
235,1
236,1
237,3
238,1
239,1
240,2
241,1
242,2
243,1
244,1
245,1
